,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Payment,cogs,gross income,Rating,month,day,day_period
44,C,Naypyitaw,Member,Male,Health and beauty,15.37,2,1.537,32.277,2019-03-16,Cash,30.74,1.537,7.2,March,Saturday,Evening
45,B,Mandalay,Member,Female,Electronic accessories,93.96,4,18.792,394.632,2019-03-09,Cash,375.84,18.792,9.5,March,Saturday,Evening
46,B,Mandalay,Member,Male,Health and beauty,56.69,9,25.5105,535.7205,2019-02-27,Credit card,510.21,25.5105,8.4,February,Wednesday,Evening
47,B,Mandalay,Member,Female,Food and beverages,20.01,9,9.1945,189.0945,2019-02-06,Ewallet,180.09,9.1945,4.1,February,Wednesday,Afternoon
48,B,Mandalay,Member,Male,Electronic accessories,18.93,6,5.679,119.259,2019-02-10,Credit card,113.58,5.679,8.1,February,Sunday,Afternoon
49,C,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.315,867.615,2019-03-19,Ewallet,826.3,41.315,7.9,March,Tuesday,Evening
50,C,Naypyitaw,Member,Male,Food and beverages,91.4,7,31.99,671.79,2019-02-03,Cash,639.8,31.99,9.5,February,Sunday,morning
51,A,Yangon,Member,Female,Food and beverages,44.59,5,11.1475,234.0975,2019-02-10,Cash,222.95,11.1475,8.5,February,Sunday,Afternoon
52,B,Mandalay,Member,Female,Fashion accessories,17.87,4,3.574,75.054,2019-03-22,Ewallet,71.48,3.574,6.5,March,Friday,Afternoon
53,C,Naypyitaw,Member,Male,Fashion accessories,15.43,1,0.7715,16.2015,2019-01-25,Credit card,15.43,0.7715,6.1,January,Friday,Afternoon
54,B,Mandalay,Normal,Male,Home and lifestyle,16.16,2,1.616,33.936,2019-03-07,Ewallet,32.32,1.616,6.5,March,Thursday,morning
55,C,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,34.392,722.232,2019-02-28,Cash,687.84,34.392,8.2,February,Thursday,Evening
56,A,Yangon,Member,Male,Home and lifestyle,44.34,2,4.434,93.114,2019-03-27,Cash,88.68,4.434,5.8,March,Wednesday,morning
57,A,Yangon,Normal,Male,Health and beauty,89.6,8,35.84,752.64,2019-02-07,Ewallet,716.8,35.84,6.6,February,Thursday,morning
58,A,Yangon,Member,Female,Home and lifestyle,72.35,10,36.175,759.675,2019-01-20,Cash,723.5,36.175,5.4,January,Sunday,Afternoon
59,C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,9.183,192.843,2019-03-12,Cash,183.66,9.183,9.3,March,Tuesday,Evening
60,C,Naypyitaw,Member,Female,Sports and travel,24.74,3,3.711,77.931,2019-02-15,Credit card,74.22,3.711,10.0,February,Friday,Evening
61,C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,16.719,351.099,2019-02-24,Ewallet,334.38,16.719,7.0,February,Sunday,morning
62,B,Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,520.4115,2019-02-03,Ewallet,495.63,24.7815,10.0,February,Sunday,Afternoon
63,A,Yangon,Member,Male,Sports and travel,15.81,10,7.905,166.005,2019-03-06,Credit card,158.1,7.905,8.6,March,Wednesday,Afternoon
64,B,Mandalay,Member,Male,Health and beauty,75.74,4,15.148,318.108,2019-02-14,Cash,302.96,15.148,7.6,February,Thursday,Afternoon
65,A,Yangon,Member,Male,Health and beauty,15.87,10,7.935,166.635,2019-03-13,Cash,158.7,7.935,5.8,March,Wednesday,Evening
66,C,Naypyitaw,Normal,Female,Health and beauty,33.47,2,3.347,70.287,2019-02-10,Ewallet,66.94,3.347,6.7,February,Sunday,Afternoon
67,B,Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,614.943,2019-01-07,Ewallet,585.66,29.283,9.9,January,Monday,Afternoon
68,A,Yangon,Normal,Male,Sports and travel,78.77,10,39.385,827.085,2019-01-24,Cash,787.7,39.385,6.4,January,Thursday,morning
69,A,Yangon,Member,Female,Health and beauty,18.33,1,0.9165,19.2465,2019-02-02,Cash,18.33,0.9165,4.3,February,Saturday,Evening
70,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,44.74,939.54,2019-01-06,Credit card,894.8,44.74,9.6,January,Sunday,Afternoon
71,C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,31.06,652.26,2019-02-11,Cash,621.2,31.06,5.9,February,Monday,Evening
72,B,Mandalay,Member,Female,Food and beverages,48.52,3,7.278,152.838,2019-03-05,Ewallet,145.56,7.278,4.0,March,Tuesday,Evening
73,C,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,22.773,478.233,2019-03-09,Cash,455.46,22.773,8.7,March,Saturday,Evening
74,A,Yangon,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.6315,2019-01-22,Ewallet,672.03,33.6015,9.4,January,Tuesday,morning
75,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,20.825,437.325,2019-01-13,Credit card,416.5,20.825,5.4,January,Sunday,Evening
76,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,22.068,463.428,2019-01-09,Credit card,441.36,22.068,8.6,January,Wednesday,Afternoon
77,A,Yangon,Member,Female,Fashion accessories,20.01,9,9.1945,189.0945,2019-01-12,Credit card,180.09,9.1945,5.7,January,Saturday,Afternoon
78,C,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.155,822.255,2019-03-05,Ewallet,783.1,39.155,6.6,March,Tuesday,Evening
79,C,Naypyitaw,Normal,Female,Health and beauty,20.38,5,5.095,106.995,2019-01-22,Cash,101.9,5.095,6.0,January,Tuesday,Evening
80,C,Naypyitaw,Normal,Female,Health and beauty,99.19,6,29.757,624.897,2019-01-21,Credit card,595.14,29.757,5.5,January,Monday,Afternoon
81,B,Mandalay,Normal,Female,Food and beverages,96.68,3,14.502,304.542,2019-01-26,Ewallet,290.04,14.502,6.4,January,Saturday,Evening
82,C,Naypyitaw,Normal,Male,Food and beverages,19.25,8,7.7,161.7,2019-01-23,Ewallet,154.0,7.7,6.6,January,Wednesday,Evening
83,C,Naypyitaw,Member,Female,Food and beverages,80.36,4,16.072,337.512,2019-02-23,Credit card,321.44,16.072,8.3,February,Saturday,Evening
84,C,Naypyitaw,Member,Male,Sports and travel,48.91,5,12.2275,256.7775,2019-03-09,Cash,244.55,12.2275,6.6,March,Saturday,morning
85,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,29.071,610.491,2019-03-05,Ewallet,581.42,29.071,4.0,March,Tuesday,Afternoon
86,C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,19.13,401.73,2019-03-25,Cash,382.6,19.13,9.9,March,Monday,morning
87,A,Yangon,Member,Male,Food and beverages,49.38,7,17.283,362.943,2019-03-27,Credit card,345.66,17.283,7.3,March,Wednesday,Evening
88,A,Yangon,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,2019-01-02,Cash,42.47,2.1235,5.7,January,Wednesday,Evening
89,B,Mandalay,Normal,Female,Health and beauty,76.99,6,23.097,485.037,2019-02-27,Cash,461.94,23.097,6.1,February,Wednesday,Evening
90,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.476,198.996,2019-01-23,Cash,189.52,9.476,7.1,January,Wednesday,morning
91,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,22.43,471.03,2019-01-26,Ewallet,448.6,22.43,8.2,January,Saturday,Evening
92,A,Yangon,Member,Female,Sports and travel,21.98,7,7.693,161.553,2019-01-10,Ewallet,153.86,7.693,5.1,January,Thursday,Evening
93,B,Mandalay,Member,Male,Health and beauty,64.36,9,28.962,608.202,2019-03-12,Credit card,579.24,28.962,8.6,March,Tuesday,Afternoon
94,C,Naypyitaw,Normal,Male,Health and beauty,89.75,1,4.4875,94.2375,2019-02-06,Credit card,89.75,4.4875,6.6,February,Wednesday,Evening
95,A,Yangon,Normal,Male,Electronic accessories,97.16,1,4.858,102.018,2019-03-08,Ewallet,97.16,4.858,7.2,March,Friday,Evening
96,B,Mandalay,Normal,Male,Health and beauty,87.87,10,43.935,922.635,2019-03-29,Ewallet,878.7,43.935,5.1,March,Friday,morning
97,C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,3.735,78.435,2019-02-09,Cash,74.7,3.735,4.1,February,Saturday,Afternoon
98,A,Yangon,Normal,Male,Food and beverages,52.75,3,7.9125,166.1625,2019-03-23,Ewallet,158.25,7.9125,9.3,March,Saturday,morning
99,B,Mandalay,Normal,Male,Home and lifestyle,82.7,6,24.81,521.01,2019-03-05,Cash,496.2,24.81,7.4,March,Tuesday,Evening
100,C,Naypyitaw,Member,Male,Fashion accessories,48.71,1,2.4355,51.1455,2019-03-26,Cash,48.71,2.4355,4.1,March,Tuesday,Evening
101,C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,35.3475,742.2975,2019-03-01,Cash,706.95,35.3475,7.2,March,Friday,Afternoon
102,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,10.3815,218.0115,2019-02-01,Cash,207.63,10.3815,4.9,February,Friday,morning
103,A,Yangon,Normal,Male,Food and beverages,58.26,6,17.478,367.038,2019-03-28,Cash,349.56,17.478,9.9,March,Thursday,Evening
104,B,Mandalay,Normal,Male,Health and beauty,30.35,7,10.6225,223.0725,2019-03-19,Cash,212.45,10.6225,8.0,March,Tuesday,Evening
105,A,Yangon,Member,Male,Electronic accessories,88.67,10,44.335,931.035,2019-01-12,Ewallet,886.7,44.335,7.3,January,Saturday,Afternoon
106,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,8.214,172.494,2019-01-05,Credit card,164.28,8.214,7.9,January,Saturday,Evening
107,A,Yangon,Normal,Male,Sports and travel,62.13,6,18.639,391.419,2019-03-22,Cash,372.78,18.639,7.4,March,Friday,Evening
108,C,Naypyitaw,Normal,Female,Food and beverages,33.98,9,15.291,321.111,2019-03-24,Cash,305.82,15.291,4.2,March,Sunday,morning
109,C,Naypyitaw,Member,Male,Electronic accessories,81.97,10,40.985,860.685,2019-03-03,Cash,819.7,40.985,9.2,March,Sunday,Afternoon
110,B,Mandalay,Member,Female,Sports and travel,16.49,2,1.649,34.629,2019-02-05,Ewallet,32.98,1.649,4.6,February,Tuesday,morning
111,C,Naypyitaw,Member,Female,Health and beauty,98.21,3,14.7315,309.3615,2019-02-05,Credit card,294.63,14.7315,7.8,February,Tuesday,morning
112,B,Mandalay,Normal,Female,Fashion accessories,72.84,7,25.494,535.374,2019-02-15,Cash,509.88,25.494,8.4,February,Friday,Afternoon
113,A,Yangon,Member,Male,Home and lifestyle,58.07,9,26.1315,548.7615,2019-01-19,Ewallet,522.63,26.1315,4.3,January,Saturday,Evening
114,C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.3555,763.4655,2019-02-01,Credit card,727.11,36.3555,9.5,February,Friday,Evening
115,C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,4.053,85.113,2019-03-02,Credit card,81.06,4.053,7.1,March,Saturday,Afternoon
116,B,Mandalay,Member,Male,Fashion accessories,21.94,5,5.485,115.185,2019-03-05,Ewallet,109.7,5.485,5.3,March,Tuesday,Afternoon
117,B,Mandalay,Member,Male,Fashion accessories,51.36,1,2.568,53.928,2019-01-16,Ewallet,51.36,2.568,5.2,January,Wednesday,Afternoon
118,A,Yangon,Normal,Female,Food and beverages,10.96,10,5.48,115.08,2019-02-02,Ewallet,109.6,5.48,6.0,February,Saturday,Evening
119,B,Mandalay,Normal,Male,Home and lifestyle,53.44,2,5.344,112.224,2019-01-20,Ewallet,106.88,5.344,4.1,January,Sunday,Evening
120,A,Yangon,Normal,Female,Electronic accessories,99.56,8,39.824,836.304,2019-02-14,Credit card,796.48,39.824,5.2,February,Thursday,Evening
121,C,Naypyitaw,Member,Male,Sports and travel,57.12,7,19.992,419.832,2019-01-12,Credit card,399.84,19.992,6.5,January,Saturday,Afternoon
122,B,Mandalay,Member,Male,Sports and travel,99.96,9,44.982,944.622,2019-03-09,Credit card,899.64,44.982,4.2,March,Saturday,Evening
123,C,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,25.564,536.844,2019-03-13,Credit card,511.28,25.564,4.6,March,Wednesday,Evening
124,B,Mandalay,Member,Female,Fashion accessories,56.47,8,22.588,474.348,2019-03-09,Ewallet,451.76,22.588,7.3,March,Saturday,Afternoon
125,A,Yangon,Normal,Female,Home and lifestyle,93.69,7,32.7915,688.6215,2019-03-10,Credit card,655.83,32.7915,4.5,March,Sunday,Evening
126,A,Yangon,Normal,Female,Sports and travel,32.25,5,8.0625,169.3125,2019-01-27,Cash,161.25,8.0625,9.0,January,Sunday,Afternoon
127,C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,14.2785,299.8485,2019-01-08,Credit card,285.57,14.2785,5.9,January,Tuesday,Evening
128,C,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.416,575.736,2019-01-08,Ewallet,548.32,27.416,8.5,January,Tuesday,Afternoon
129,B,Mandalay,Normal,Female,Sports and travel,90.28,9,40.626,853.146,2019-02-08,Ewallet,812.52,40.626,7.2,February,Friday,morning
130,B,Mandalay,Normal,Female,Fashion accessories,39.62,7,13.867,291.207,2019-01-25,Cash,277.34,13.867,7.5,January,Friday,Afternoon
131,A,Yangon,Member,Female,Sports and travel,92.13,6,27.639,580.419,2019-03-06,Cash,552.78,27.639,8.3,March,Wednesday,Evening
132,B,Mandalay,Normal,Female,Sports and travel,34.84,4,6.968,146.328,2019-02-10,Cash,139.36,6.968,7.4,February,Sunday,Evening
133,B,Mandalay,Member,Male,Electronic accessories,87.45,6,26.235,550.935,2019-02-17,Credit card,524.7,26.235,8.8,February,Sunday,Afternoon
134,C,Naypyitaw,Normal,Female,Health and beauty,81.3,6,24.39,512.19,2019-03-08,Ewallet,487.8,24.39,5.3,March,Friday,Evening
135,C,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,13.533,284.193,2019-02-18,Cash,270.66,13.533,6.2,February,Monday,Evening
136,A,Yangon,Normal,Female,Electronic accessories,26.31,5,6.5775,138.1275,2019-01-18,Credit card,131.55,6.5775,8.8,January,Friday,Evening
137,A,Yangon,Member,Female,Home and lifestyle,34.42,6,10.326,216.846,2019-02-18,Cash,206.52,10.326,9.8,February,Monday,Afternoon
138,B,Mandalay,Normal,Male,Sports and travel,51.91,10,25.955,545.055,2019-02-16,Cash,519.1,25.955,8.2,February,Saturday,Afternoon
139,A,Yangon,Normal,Male,Sports and travel,72.5,8,29.0,609.0,2019-03-16,Ewallet,580.0,29.0,9.2,March,Saturday,Evening
140,C,Naypyitaw,Member,Female,Sports and travel,89.8,10,44.9,942.9,2019-01-23,Credit card,898.0,44.9,5.4,January,Wednesday,Afternoon
141,C,Naypyitaw,Member,Male,Health and beauty,90.5,10,45.25,950.25,2019-01-25,Cash,905.0,45.25,8.1,January,Friday,Afternoon
142,C,Naypyitaw,Member,Female,Health and beauty,68.6,10,34.3,720.3,2019-02-05,Cash,686.0,34.3,9.1,February,Tuesday,Evening
143,C,Naypyitaw,Member,Female,Food and beverages,30.41,1,1.5205,31.9305,2019-02-22,Credit card,30.41,1.5205,8.4,February,Friday,morning
144,A,Yangon,Normal,Female,Home and lifestyle,77.95,6,23.385,491.085,2019-01-21,Ewallet,467.7,23.385,8.0,January,Monday,Evening
145,C,Naypyitaw,Normal,Female,Health and beauty,46.26,6,13.878,291.438,2019-03-08,Credit card,277.56,13.878,9.5,March,Friday,Evening
146,A,Yangon,Member,Female,Fashion accessories,30.14,10,15.07,316.47,2019-02-10,Ewallet,301.4,15.07,9.2,February,Sunday,Afternoon
147,C,Naypyitaw,Normal,Male,Health and beauty,66.14,4,13.228,277.788,2019-03-19,Credit card,264.56,13.228,5.6,March,Tuesday,Afternoon
148,B,Mandalay,Member,Male,Home and lifestyle,71.86,8,28.744,603.624,2019-03-06,Credit card,574.88,28.744,6.2,March,Wednesday,Afternoon
149,A,Yangon,Normal,Male,Health and beauty,32.46,8,12.984,272.664,2019-03-27,Credit card,259.68,12.984,4.9,March,Wednesday,Afternoon
150,B,Mandalay,Member,Female,Fashion accessories,91.54,4,18.308,384.468,2019-03-23,Credit card,366.16,18.308,4.8,March,Saturday,Evening
151,C,Naypyitaw,Member,Male,Sports and travel,34.56,7,12.096,254.016,2019-03-11,Credit card,241.92,12.096,7.3,March,Monday,Evening
152,A,Yangon,Normal,Male,Fashion accessories,83.24,9,37.458,786.618,2019-01-29,Credit card,749.16,37.458,7.4,January,Tuesday,morning
153,C,Naypyitaw,Normal,Female,Food and beverages,16.48,6,4.944,103.824,2019-02-07,Ewallet,98.88,4.944,9.9,February,Thursday,Evening
154,C,Naypyitaw,Normal,Female,Sports and travel,80.97,8,32.388,680.148,2019-01-28,Cash,647.76,32.388,9.3,January,Monday,Afternoon
155,A,Yangon,Member,Male,Food and beverages,92.29,5,23.0725,484.5225,2019-02-20,Credit card,461.45,23.0725,9.0,February,Wednesday,Afternoon
156,B,Mandalay,Member,Male,Electronic accessories,72.17,1,3.6085,75.7785,2019-01-04,Cash,72.17,3.6085,6.1,January,Friday,Evening
157,B,Mandalay,Normal,Male,Home and lifestyle,50.28,5,12.57,263.97,2019-03-07,Ewallet,251.4,12.57,9.7,March,Thursday,Afternoon
158,B,Mandalay,Member,Male,Health and beauty,97.22,9,43.749,918.729,2019-03-30,Ewallet,874.98,43.749,6.0,March,Saturday,Afternoon
159,B,Mandalay,Normal,Male,Sports and travel,93.39,6,28.017,588.357,2019-03-27,Ewallet,560.34,28.017,10.0,March,Wednesday,Evening
160,C,Naypyitaw,Normal,Female,Food and beverages,43.18,8,17.272,362.712,2019-01-19,Credit card,345.44,17.272,8.3,January,Saturday,Evening
161,A,Yangon,Normal,Male,Sports and travel,63.69,1,3.1845,66.8745,2019-02-25,Cash,63.69,3.1845,6.0,February,Monday,Evening
162,A,Yangon,Normal,Male,Food and beverages,45.79,7,16.0265,336.5565,2019-03-13,Credit card,320.53,16.0265,7.0,March,Wednesday,Evening
163,C,Naypyitaw,Normal,Male,Sports and travel,76.4,2,7.64,160.44,2019-01-30,Ewallet,152.8,7.64,6.5,January,Wednesday,Evening
164,B,Mandalay,Normal,Male,Food and beverages,39.9,10,19.95,418.95,2019-02-20,Credit card,399.0,19.95,5.9,February,Wednesday,Afternoon
165,B,Mandalay,Member,Male,Health and beauty,42.57,8,17.028,357.588,2019-02-25,Ewallet,340.56,17.028,5.6,February,Monday,Afternoon
166,C,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10,47.79,1003.59,2019-01-16,Cash,955.8,47.79,4.8,January,Wednesday,Afternoon
167,A,Yangon,Normal,Male,Fashion accessories,98.98,10,49.49,1039.29,2019-02-08,Credit card,989.8,49.49,8.7,February,Friday,Evening
168,A,Yangon,Normal,Male,Food and beverages,51.28,6,15.384,323.064,2019-01-19,Cash,307.68,15.384,6.5,January,Saturday,Evening
169,A,Yangon,Member,Male,Sports and travel,69.52,7,24.332,510.972,2019-02-01,Credit card,486.64,24.332,8.5,February,Friday,Afternoon
170,A,Yangon,Normal,Male,Health and beauty,70.01,5,17.5025,367.5525,2019-01-03,Ewallet,350.05,17.5025,5.5,January,Thursday,morning
171,B,Mandalay,Member,Male,Food and beverages,80.05,5,20.0125,420.2625,2019-01-26,Credit card,400.25,20.0125,9.4,January,Saturday,Afternoon
172,C,Naypyitaw,Normal,Male,Electronic accessories,20.85,8,8.34,175.14,2019-03-03,Cash,166.8,8.34,6.3,March,Sunday,Evening
173,B,Mandalay,Member,Male,Electronic accessories,52.89,6,15.867,333.207,2019-01-19,Credit card,317.34,15.867,9.8,January,Saturday,Evening
174,B,Mandalay,Normal,Male,Food and beverages,19.79,8,7.916,166.236,2019-01-18,Ewallet,158.32,7.916,8.7,January,Friday,Afternoon
175,A,Yangon,Member,Male,Home and lifestyle,33.84,9,15.228,319.788,2019-03-21,Ewallet,304.56,15.228,8.8,March,Thursday,Evening
176,A,Yangon,Member,Male,Food and beverages,22.17,8,8.868,186.228,2019-03-03,Credit card,177.36,8.868,9.6,March,Sunday,Evening
177,C,Naypyitaw,Normal,Female,Fashion accessories,22.51,7,7.8785,165.4485,2019-02-13,Credit card,157.57,7.8785,4.8,February,Wednesday,morning
178,A,Yangon,Normal,Male,Food and beverages,73.88,6,22.164,465.444,2019-03-23,Ewallet,443.28,22.164,4.4,March,Saturday,Evening
179,C,Naypyitaw,Member,Male,Health and beauty,86.8,3,13.02,273.42,2019-01-28,Ewallet,260.4,13.02,9.9,January,Monday,Evening
180,C,Naypyitaw,Normal,Male,Fashion accessories,64.26,7,22.491,472.311,2019-02-09,Cash,449.82,22.491,5.7,February,Saturday,morning
181,C,Naypyitaw,Member,Male,Food and beverages,38.47,8,15.388,323.148,2019-01-23,Cash,307.76,15.388,7.7,January,Wednesday,morning
182,A,Yangon,Member,Male,Sports and travel,15.5,10,7.75,162.75,2019-03-23,Ewallet,155.0,7.75,8.0,March,Saturday,morning
183,C,Naypyitaw,Normal,Male,Health and beauty,34.31,8,13.724,288.204,2019-01-25,Ewallet,274.48,13.724,5.7,January,Friday,Afternoon
184,A,Yangon,Normal,Female,Sports and travel,12.34,7,4.319,90.699,2019-03-04,Credit card,86.38,4.319,6.7,March,Monday,morning
